Transect,SiteName,AbrSiteName,BarrenLand,Building,CultivatedCrops,DeciduousForest,EvergreenForest,Grassland,MixedForest,Pavement,ShrubScrub,Total,%Error,TrapNights,Cx.sal,Ae.albo,Ae.cin,Ae.vex,Ps.fer,Cx.err,Ps.col,Oc.tris,Cx.pip/q,Oc.can,Coq,An.quad,An.cruc,An.punc,Oc.hen,Oc.atl,Oc.dup,Ps.cyan,Ps.how,Ae.jap,Oc.inf,Ps.cil,Ur.saph
PR2,PrairieRidge2.1,PR2.1,373.7086563,226.9691939,0,7.736058586,586.538285,30177.44485,0,0,0,31372.39704,0.138569702,11,8,0,0,5,0,5,21,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PR2,PrairieRidge2.2,PR2.2,0,0,0,11113.47939,0,20257.16175,0,0,0,31370.64114,0.144158902,10,3,0,1,4,0,4,2,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0
PR2,PrairieRidge2.3,PR2.3,0,0,0,13047.922,0,18322.71924,0,0,0,31370.64124,0.144158589,11,11,31,1,2,1,22,3,1,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PR2,PrairieRidge2.4,PR2.4,0,0,0,14930.10375,9.056097032,16431.48151,0,0,0,31370.64135,0.144158235,11,3,34,0,0,8,15,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0
PR2,PrairieRidge2.5,PR2.5,0,0,0,22510.99975,7912.478337,947.2443186,0,0,0,31370.72241,0.143900226,9,0,8,5,6,12,5,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
PR3,PrairieRidge3.1,PR3.1,0,49.35493617,0,772.8702258,281.6681681,30316.91908,0,0,0,31420.81241,0.015541198,10,49,11,0,12,0,2,367,0,29,0,0,2,0,1,0,0,0,0,0,0,0,2,0
PR3,PrairieRidge3.2,PR3.2,0,0,0,12492.59802,5425.116439,13456.34084,0,0,0,31374.0553,0.133291301,11,10,19,0,8,0,3,21,1,19,0,0,2,0,1,0,1,0,0,0,0,0,0,0
PR3,PrairieRidge3.3,PR3.3,0,0,0,13866.82741,5974.892617,11533.16234,0,0,0,31374.88237,0.130658665,11,9,55,4,12,0,9,9,2,37,0,0,1,0,6,0,0,1,0,0,0,1,0,0
PR3,PrairieRidge3.4,PR3.4,0,0,0,14888.05605,6682.652667,9810.760426,0,0,0,31381.46915,0.10969229,11,4,75,0,7,6,3,1,2,10,4,0,0,0,1,0,6,1,0,0,0,0,0,0
PR3,PrairieRidge3.5,PR3.5,0,0,0,17478.6671,13913.64673,0,0,0,0,31392.31383,0.075172605,11,1,25,9,1,3,4,0,5,0,7,0,0,0,2,3,7,1,0,0,0,0,0,0
LW1,LakeWheeler1.1,LW1.1,628.6530449,448.9158305,11600.97516,216.6694778,1457.047746,16736.67901,278.6076908,0,0,31367.54796,0.154004793,11,51,0,2,19,1,55,2,0,8,0,4,4,12,6,0,0,0,0,0,0,0,0,0
LW1,LakeWheeler1.2,LW1.2,0,284.9705636,771.9611048,7.072202297,9415.362611,13854.98574,6945.783704,0,89.45321274,31369.58913,0.147507541,11,26,13,2,69,5,186,4,1,2,0,9,5,6,6,0,0,0,0,1,0,2,0,0
LW1,LakeWheeler1.3,LW1.3,0,235.8617753,623.6816696,0,9815.095194,12171.8804,8433.635145,89.45321274,0,31369.60739,0.147449422,11,4,4,1,1,2,222,1,2,1,0,2,3,0,7,0,1,0,0,0,0,0,0,0
LW1,LakeWheeler1.4,LW1.4,227.8339959,0,459.2305123,0,10096.09143,10480.5164,10016.52974,0,89.45321274,31369.6553,0.147296928,11,6,6,2,8,10,50,0,3,3,0,1,3,0,1,1,1,0,0,0,0,0,0,0
LW1,LakeWheeler1.5,LW1.5,31.79951521,171.5257039,0,0,10868.00738,524.6218634,19695.42755,0,77.12263127,31368.50465,0.150959566,11,4,2,2,1,9,28,0,3,2,0,1,3,0,2,1,5,1,0,0,0,0,0,0
LW2,LakeWheeler2.1,LW2.1,1428.000508,52.67500388,4597.932479,0,0,25290.56762,0,0,0,31369.17561,0.148823838,10,40,0,0,7,0,1,43,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LW2,LakeWheeler2.2,LW2.2,158.242377,200.2160324,0,0,929.1500171,18861.00121,11223.56541,0,0,31372.17505,0.139276317,11,8,0,2,7,0,1,6,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0
LW2,LakeWheeler2.3,LW2.3,201.0756188,200.2160324,0,0,1019.113816,16954.35667,12997.54199,0,0,31372.30413,0.138865436,11,7,2,0,12,0,1,2,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0
LW2,LakeWheeler2.4,LW2.4,221.2853647,200.2160324,0,0,1133.846013,15038.12748,14778.86539,0,0,31372.34027,0.13875039,11,2,5,1,4,0,0,0,3,3,0,0,1,0,0,1,0,0,0,0,0,2,0,0
LW2,LakeWheeler2.5,LW2.5,0,37.89193323,0,0,2727.36951,2321.787145,26281.64946,0,0,31368.69805,0.150343945,11,2,2,1,3,0,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
LW3,LakeWheeler3.1,LW3.1,4259.953473,1961.177018,229.643637,0,2549.056153,22046.9738,0,0,337.4113142,31384.21539,0.100950712,11,19,0,0,4,0,4,6,1,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0
LW3,LakeWheeler3.2,LW3.2,3198.39846,1237.687883,0,7288.710346,8278.94745,11282.91841,0,0,97.88374409,31384.54629,0.09989743,10,2,2,0,12,1,9,0,1,1,0,1,3,1,0,0,0,0,0,1,2,0,0,0
LW3,LakeWheeler3.3,LW3.3,2755.616212,1068.630071,0,8981.195121,8261.614075,10307.47691,0,0,10.36025955,31384.89265,0.098794938,11,2,3,0,3,2,15,0,1,6,0,1,0,0,1,0,0,0,0,2,0,0,0,0
LW3,LakeWheeler3.4,LW3.4,2214.238308,904.0350959,0,10696.42534,8224.809775,9342.917931,0,0,0,31382.42645,0.106645098,11,1,5,2,3,5,12,0,7,3,0,0,1,0,4,1,0,0,0,0,0,0,0,0
LW3,LakeWheeler3.5,LW3.5,153.0560938,224.3948808,0,22833.2838,7514.467145,644.5561931,0,0,0,31369.75812,0.146969651,11,0,1,0,9,11,9,0,6,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0
